Employee_id,Age,Group,Year,Yrs of Experience,yrs_rate,skills_rate,Sale,manufacture_rate,Expertise,Salary
40,26,Trainee,2016,2,4,14,20,17,55,43000
41,26,Trainee,2019,2.2,2,12,12,14,40,35000
42,37,Assistant,2013,7.9,9,22,20,19,70,60000
43,26,Trainee,2015,2.9,9,16,15,15,55,43000
44,27,Trainee,2014,4.5,9,14,17,15,55,43000
45,30,Trainee,2014,4.9,9,15,15,16,55,43000
46,32,Assistant,2014,5.1,9,22,20,19,70,60000
47,31,Assistant,2014,5.3,10,25,15,15,65,50000
48,33,Assistant,2014,5.9,9,22,20,19,70,60000
49,34,Assistant,2014,6,9,22,20,19,70,60000
50,25,Trainee,2016,1.3,4,16,15,20,55,43000
51,27,Trainee,2015,2.9,9,14,15,17,55,43000
52,38,Assistant,2013,8.2,15,26,25,14,80,70000
53,39,Assistant,2013,9.6,13,24,21,22,80,70000
54,42,Experienced,2012,10.3,17,26,21,21,85,80000
55,45,Experienced,2011,10.5,16,27,23,19,85,80000
56,28,Trainee,2015,3,9,14,15,12,50,40000
57,47,Experienced,2010,11,18,24,21,22,85,80000
58,27,Trainee,2014,3.9,9,14,15,12,50,40000
59,28,Trainee,2013,4,7,14,15,14,50,40000
60,28,Trainee,2013,4,7,16,15,12,50,40000
61,49,Experienced,2012,11.5,19,26,19,21,85,80000
62,26,Trainee,2020,2.2,2,12,12,14,40,35000
63,29,Trainee,2013,3.7,9,15,15,16,55,43000
64,35,Assistant,2014,6.8,12,26,24,18,80,70000
65,36,Assistant,2014,7.1,9,22,20,19,70,60000
66,38,Assistant,2013,7.9,15,25,20,20,80,70000
67,37,Assistant,2013,9,9,22,20,19,70,60000
68,39,Assistant,2013,9.5,14,20,21,25,80,70000
69,39,Assistant,2013,9.6,9,22,20,19,70,60000
70,41,Experienced,2011,10.3,17,24,24,20,85,80000
71,47,Experienced,2012,10.5,19,26,19,21,85,80000
72,27,Trainee,2013,3,9,17,15,19,60,45000
73,39,Assistant,2013,8.7,16,22,22,20,80,70000
74,28,Trainee,2013,3.7,9,14,16,16,55,43000
75,36,Assistant,2014,7.1,9,22,20,19,70,60000
76,28,Trainee,2014,3.9,9,15,11,15,50,40000
77,28,Trainee,2012,4.1,8,13,14,15,50,40000
78,25,Trainee,2020,1.3,4,14,16,16,50,40000
79,25,Trainee,2020,1.5,4,14,16,16,50,40000
80,25,Trainee,2020,2,4,14,16,16,50,40000
81,26,Trainee,2020,2.2,2,12,12,14,40,35000
82,29,Trainee,2020,3.7,9,10,11,10,40,35000
83,25,Trainee,2020,1.3,4,14,16,16,50,40000
84,36,Assistant,2014,8.2,9,22,20,19,70,60000
85,50,Experienced,2010,12,19,26,18,22,85,80000
86,49,Experienced,2012,11.5,19,26,18,22,85,80000
87,50,Experienced,2010,12,19,26,18,22,85,80000
88,48,Experienced,2010,11.5,19,29,22,20,90,90000
89,47,Experienced,2012,11.5,19,29,19,23,90,90000
90,27,Trainee,2014,3.9,8,21,15,16,60,45000
91,35,Assistant,2013,8.7,9,22,20,19,70,60000
92,40,Assistant,2013,9,15,25,18,22,80,70000
93,38,Assistant,2013,9.5,9,22,20,19,70,60000
94,39,Assistant,2013,9.6,9,22,20,19,70,60000
95,43,Experienced,2012,10.3,19,26,20,25,90,90000
96,47,Experienced,2011,10.5,19,26,20,25,90,90000
97,27,Trainee,2012,3,8,21,15,16,60,45000
98,26,Trainee,2018,1.3,4,14,16,16,50,40000
99,37,Assistant,2013,8.7,16,15,19,15,65,50000
100,38,Assistant,2013,8.2,15,20,15,15,65,50000
101,49,Experienced,2010,11.5,19,27,25,24,95,100000
102,39,Assistant,2013,7.1,9,20,16,20,65,50000
103,38,Assistant,2013,9.6,9,21,17,18,65,50000
104,49,Experienced,2010,11.5,19,26,20,25,90,90000
105,49,Experienced,2010,12,20,29,21,25,95,100000
106,37,Assistant,2013,8.7,11,18,17,19,65,50000
107,50,Experienced,2010,12,19,26,20,25,90,90000
108,49,Experienced,2011,11.5,19,26,25,25,95,100000
109,39,Assistant,2013,9.6,13,21,25,21,80,70000
110,41,Experienced,2012,10.3,17,29,24,25,95,100000
111,45,Experienced,2012,10.5,19,26,20,25,90,90000
112,36,Assistant,2013,8.2,13,18,16,18,65,50000
113,36,Assistant,2014,7.1,9,22,20,19,70,60000
114,49,Experienced,2012,11.5,19,26,26,19,90,90000
115,49,Experienced,2010,12,20,28,25,22,95,100000
116,37,Assistant,2014,8.7,10,16,23,16,65,50000
117,38,Assistant,2014,7.1,10,18,21,16,65,50000
118,39,Assistant,2014,9.6,12,21,24,23,80,70000
119,36,Assistant,2014,8.2,13,20,25,22,80,70000
120,37,Assistant,2014,8.7,12,17,18,18,65,50000
